,time,code,open,close,low,high,volume,money,factor,high_limit,low_limit,avg,pre_close,paused,vwap
0,2020-01-02,300750.XSHE,107.42,107.73,105.9,109.06,20571783.0,2213454650.95,1.001935,117.27,95.95,107.6,106.61,0.0,107.59663617635864
1,2020-01-03,300750.XSHE,107.73,109.76,106.18,110.4,18049253.0,1956828808.74,1.001935,118.5,96.96,108.42,107.73,0.0,108.41605515419391
2,2020-01-06,300750.XSHE,111.52,109.3,108.01,114.72,26449021.0,2958351779.87,1.001935,120.74,98.79,111.85,109.76,0.0,111.85108816957724
3,2020-01-07,300750.XSHE,109.22,108.71,107.62,109.85,13481457.0,1461154189.47,1.001935,120.23,98.37,108.38,109.3,0.0,108.38251306739323
4,2020-01-08,300750.XSHE,109.22,109.81,107.31,111.72,19186941.0,2098374347.29,1.001935,119.58,97.84,109.37,108.71,0.0,109.36471568292204
5,2020-01-09,300750.XSHE,112.22,115.22,110.22,115.72,20125408.0,2287090666.44,1.001935,120.79,98.83,113.64,109.81,0.0,113.64195282103101
6,2020-01-10,300750.XSHE,114.42,113.53,111.9,114.42,14400143.0,1628569248.45,1.001935,126.74,103.7,113.09,115.22,0.0,113.09396361202802
7,2020-01-13,300750.XSHE,116.22,117.13,114.42,118.71,21555735.0,2516539925.09,1.001935,124.88,102.18,116.75,113.53,0.0,116.7457256776445
8,2020-01-14,300750.XSHE,119.74,115.92,115.4,120.98,21726432.0,2585867747.09,1.001935,128.84,105.41,119.02,117.13,0.0,119.01943895297673
9,2020-01-15,300750.XSHE,115.92,115.52,112.43,117.81,17724423.0,2031327383.2,1.001935,127.52,104.33,114.61,115.92,0.0,114.6061219143777
10,2020-01-16,300750.XSHE,116.22,116.63,114.07,116.73,12909179.0,1492301746.76,1.001935,127.08,103.97,115.6,115.52,0.0,115.60005068951325
11,2020-01-17,300750.XSHE,116.59,115.3,114.22,117.79,14634090.0,1694771901.3,1.001935,128.29,104.96,115.81,116.63,0.0,115.80985912345763
12,2020-01-20,300750.XSHE,115.21,123.44,113.12,125.32,24844127.0,2992287056.79,1.001935,126.83,103.77,120.44,115.3,0.0,120.44243119470448
13,2020-01-21,300750.XSHE,122.75,121.89,120.69,123.24,14239554.0,1734790906.52,1.001935,135.78,111.09,121.83,123.44,0.0,121.8290198218287
14,2020-01-22,300750.XSHE,121.89,134.08,119.61,134.08,34923983.0,4493837402.16,1.001935,134.08,109.7,128.67,121.89,0.0,128.67482503814068
15,2020-01-23,300750.XSHE,132.76,130.82,125.34,137.27,35916725.0,4755930193.29,1.001935,147.48,120.67,132.42,134.08,0.0,132.41547477644468
16,2020-02-03,300750.XSHE,126.8,135.62,126.74,143.76,52532951.0,7148822247.27,1.001935,143.91,117.74,136.08,130.82,0.0,136.08263216109827
17,2020-02-04,300750.XSHE,146.05,149.19,140.28,149.19,35844224.0,5283954889.56,1.001935,149.19,122.06,147.41,135.62,0.0,147.4144032120768
18,2020-02-05,300750.XSHE,158.48,164.11,156.6,164.11,52979866.0,8588999756.73,1.001935,164.11,134.27,162.12,149.19,0.0,162.11818574116438
19,2020-02-06,300750.XSHE,155.31,170.22,153.29,170.22,57807136.0,9265610935.71,1.001935,180.52,147.7,160.28,164.11,0.0,160.28489866216515
20,2020-02-07,300750.XSHE,166.32,160.51,159.26,169.66,45411609.0,7426674364.74,1.001935,187.24,153.2,163.54,170.22,0.0,163.5413174798541
